,,,,,,,,,Inspection information,,,,,,
Children's home,21/08/2018,Active,East Midlands,East Midlands,Lincolnshire,Grantham and Stamford,Private,The Place Young Peoples Company,Full inspection,17/01/2019,08/02/2019,10077500,Good,Good,Good
Children's home,19/10/2018,Active,West Midlands,West Midlands,Telford and Wrekin,Telford,Private,Bryn Melyn Care Limited,Monitoring inspection,19/03/2019,16/04/2019,10101134,,,
Children's home,06/08/2018,Active,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central,Local Authority,Stoke on Trent City Council,Full inspection,11/12/2018,31/12/2018,10077701,Good,Good,Good
Children's home,20/08/2018,Active,South West,South West,Somerset,Somerton and Frome,Private,Impact For Change Ltd,Full inspection,26/02/2019,22/03/2019,10077808,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,06/08/2018,Active,West Midlands,West Midlands,Stoke-on-Trent,Stoke-on-Trent Central,Local Authority,Stoke on Trent City Council,Full inspection,15/01/2019,01/02/2019,10077703,Good,Good,Good
Children's home,06/08/2018,Active,North West,North West,Bury,Bury North,Private,Next Stage 4 Life,Full inspection,26/02/2019,11/04/2019,10092775,Good,Good,Requires improvement to be good
Children's home,10/12/2018,Active,West Midlands,West Midlands,Staffordshire,Stoke-on-Trent North,Private,Bright Stars Therapeutic Solutions Limited,Monitoring inspection,04/03/2019,28/03/2019,10099581,,,
Children's home,28/08/2018,Active,North West,North West,Oldham,Oldham West and Royton,Private,Dynamic Childcare Limited,Full inspection,20/02/2019,21/03/2019,10084180,Good,Good,Good
Children's home,07/08/2018,Active,London,London,Hillingdon,Uxbridge and South Ruislip,Local Authority,London Borough of Hillingdon,Interim inspection,12/03/2019,05/04/2019,10087220,Declined effectiveness,,
Children's home,07/08/2018,Active,London,London,Hillingdon,Uxbridge and South Ruislip,Local Authority,London Borough of Hillingdon,Full inspection,03/12/2018,21/12/2018,10068442,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's Home,26/09/2018,Active,East of England,East of England,Hertfordshire,Hertford and Stortford,Voluntary,St Elizabeth's Centre,Full inspection,04/03/2019,26/03/2019,10081812,Inadequate,Inadequate,Inadequate
Children's home,03/10/2018,Active,North West,North West,Lancashire,Fylde,Private,Future Focused Ltd,Full inspection,21/03/2019,16/04/2019,10096217,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,06/09/2018,Active,;North East, Yorkshire and the Humber;,North East,Northumberland,Blyth Valley,Private,Cambian Childcare Limited,Full inspection,09/10/2018,26/10/2018,10078831,Good,Good,Good
Further Education College with Residential Accommodation,04/09/2018,Active,East Midlands,East Midlands,Leicestershire,North West Leicestershire,Private,Stephenson College,Full inspection,04/12/2018,02/01/2019,10078310,Good,Good,Good
Children's home,03/10/2018,Active,North West,North West,Liverpool,;Liverpool, West Derby;,Private,Idem Living Ltd,Full inspection,13/03/2019,11/04/2019,10087176,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Residential Special School,01/01/2019,Active,South East,South East,Surrey,Reigate,Academy,Orchard Hill College Academy Trust,Full inspection,04/02/2019,01/03/2019,10093763,Inadequate,Inadequate,Inadequate
Children's home,01/06/1994,Active,;North East, Yorkshire and the Humber;,North East,Northumberland,Hexham,Voluntary,Action For Children,Full inspection,19/03/2019,15/04/2019,10049241,Good,Good,Good
Children's home,23/05/2001,Active,;North East, Yorkshire and the Humber;,North East,Northumberland,Berwick-upon-Tweed,Private,Outdoor Care Limited,Full inspection,08/01/2019,24/01/2019,10049314,Good,Good,Requires improvement to be good
Children's home,02/05/2001,Active,;North East, Yorkshire and the Humber;,North East,Darlington,Sedgefield,Private,Arronbeth Ltd,Full inspection,05/06/2018,04/07/2018,10049311,Good,Good,Good
Children's home,02/05/2001,Active,;North East, Yorkshire and the Humber;,North East,Darlington,Sedgefield,Private,Arronbeth Ltd,Interim inspection,25/02/2019,01/04/2019,10051440,Sustained effectiveness,,
Children's home,28/06/2001,Active,;North East, Yorkshire and the Humber;,North East,Darlington,Darlington,Private,Pear Tree Projects Limited,Full inspection,07/08/2018,03/09/2018,10049329,Good,Good,Good
Children's home,28/06/2001,Active,;North East, Yorkshire and the Humber;,North East,Darlington,Darlington,Private,Pear Tree Projects Limited,Full inspection,31/07/2018,31/08/2018,10049330,Good,Outstanding,Good
Children's home,21/02/2001,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Calderdale,Halifax,Private,Broadwood Residential Limited,Full inspection,12/02/2019,04/03/2019,10049306,Good,Good,Good
Residential Special School,12/02/2002,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Calderdale,Calder Valley,Voluntary,The Smith Foundation,Full inspection,21/01/2019,28/02/2019,10046677,Outstanding,Outstanding,Outstanding
Boarding School,12/02/2002,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Bradford,Bradford West,Voluntary,Board of Trustees,Full inspection,03/07/2018,26/07/2018,10011357,Outstanding,Outstanding,Outstanding
Children's home,01/04/2002,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds Central,Private,Five Rivers Child Care Limited,Full inspection,07/11/2018,30/11/2018,10049382,Outstanding,Outstanding,Outstanding
Children's home,01/04/2002,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Leeds East,Voluntary,Catholic Care (Diocese of Leeds),Full inspection,10/12/2018,09/01/2019,10049383,Good,Good,Outstanding
Residential Special School,01/04/2001,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Leeds,Elmet and Rothwell,Voluntary,St John's Catholic School For The Deaf,Full inspection,27/11/2018,23/01/2019,10046866,Outstanding,Outstanding,Outstanding
Residential Special School,12/02/2002,Active,East Midlands,East Midlands,Leicestershire,Rutland and Melton,Private,Acorn Care & Education,Full inspection,29/01/2019,15/02/2019,10045535,Good,Good,Outstanding
Boarding School,12/02/2002,Active,East Midlands,East Midlands,Leicestershire,North West Leicestershire,Academy,Ashby School,Monitoring inspection,22/11/2018,14/12/2018,10085365,,,
Boarding School,12/02/2002,Active,East Midlands,East Midlands,Leicestershire,North West Leicestershire,Academy,Ashby School,Full inspection,06/11/2018,28/11/2018,10046744,Inadequate,Inadequate,Inadequate
Boarding School,12/02/2002,Active,East Midlands,East Midlands,Leicestershire,North West Leicestershire,Academy,Ashby School,Monitoring inspection,17/01/2019,11/02/2019,10085879,,,
Residential Special School,12/02/2002,Active,East Midlands,East Midlands,Derby,Derby North,Voluntary,Royal School for the Deaf Trust,Full inspection,15/01/2019,05/02/2019,10046678,Good,Good,Outstanding
Boarding School,12/02/2002,Active,East Midlands,East Midlands,Nottingham,Nottingham East,Voluntary,Board of Trustees of Madni Trust,Full inspection,19/06/2018,20/07/2018,10046817,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,09/11/2001,Active,;North East, Yorkshire and the Humber;,Yorkshire and The Humber,Sheffield,;Sheffield, Brightside and Hillsborough;,Private,Progressive Care Limited,Full inspection,05/02/2019,01/03/2019,10049363,Good,Good,Outstanding
Children's home,19/08/1999,Active,South West,South West,Devon,Totnes,Voluntary,Lifeworks Charity Limited,Full inspection,19/12/2018,18/01/2019,10049283,Good,Requires improvement to be good,Requires improvement to be good
Children's home,19/10/2001,Active,South West,South West,Devon,Newton Abbot,Private,One To One Crisis Intervention Ltd,Interim inspection,27/02/2019,22/03/2019,10051451,Sustained effectiveness,,
Children's home,19/10/2001,Active,South West,South West,Devon,Newton Abbot,Private,One To One Crisis Intervention Ltd,Full inspection,26/04/2018,24/05/2018,10049362,Good,Requires improvement to be good,Requires improvement to be good
Residential Special School,13/02/2002,Active,South West,South West,Devon,Newton Abbot,Local Authority,Devon County Council,Full inspection,04/02/2019,05/03/2019,10045537,Good,Good,Requires improvement to be good
Children's home,13/02/2002,Active,South West,South West,Devon,Newton Abbot,Private,One To One Crisis Intervention Ltd,Full inspection,03/10/2018,29/10/2018,10049376,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,04/09/1995,Active,South West,South West,Poole,Bournemouth West,Voluntary,Diverse Abilities Plus Ltd.,Full inspection,18/09/2018,16/10/2018,10049246,Good,Requires improvement to be good,Good
Children's home,31/01/1994,Active,West Midlands,West Midlands,Warwickshire,Kenilworth and Southam,Voluntary,Action For Children,Interim inspection,20/03/2019,10/04/2019,10055305,Sustained effectiveness,,
Children's home,31/01/1994,Active,West Midlands,West Midlands,Warwickshire,Kenilworth and Southam,Voluntary,Action For Children,Full inspection,01/05/2018,21/05/2018,10049235,Good,Good,Good
Children's home,27/01/2000,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,The Partnership of Care Today Children's Services,Full inspection,08/01/2019,01/02/2019,10049287,Good,Outstanding,Good
Children's home,17/02/1997,Active,West Midlands,West Midlands,Staffordshire,Cannock Chase,Private,Daisybrook Limited,Full inspection,26/06/2018,31/07/2018,10049257,Good,Good,Good
Residential special school (registered as a children's home),09/03/1998,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,The Partnership of Care Today Children's Services,Full inspection,30/05/2018,10/07/2018,10049268,Requires improvement to be good,Requires improvement to be good,Requires improvement to be good
Children's home,27/01/2000,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,The Partnership of Care Today Children's Services,Full inspection,06/12/2018,09/01/2019,10049288,Good,Outstanding,Good
Residential special school (registered as a children's home),15/05/1996,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,The Partnership of Care Today Children's Services,Full inspection,15/08/2018,04/10/2018,10049251,Outstanding,Outstanding,Outstanding
Children's home,15/05/1996,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,The Partnership of Care Today Children's Services,Full inspection,13/03/2019,29/04/2019,10046884,Good,Good,Good
Children's home,27/01/2002,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,The Partnership of Care Today Children's Services,Full inspection,12/02/2019,07/03/2019,10049375,Good,Good,Requires improvement to be good
Children's home,05/01/1998,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Esland North Limited,Full inspection,29/08/2018,28/09/2018,10049264,Good,Good,Good
Children's home,05/01/1998,Active,West Midlands,West Midlands,Staffordshire,Staffordshire Moorlands,Private,Esland North Limited,Interim inspection,19/02/2019,12/03/2019,10051433,Sustained effectiveness,,
Children's home,11/08/2000,Active,North West,North West,Halton,Halton,Private,Keys Child Care Limited,Full inspection,10/05/2018,04/06/2018,10049292,Good,Good,Outstanding
Children's home,01/06/1999,Active,North West,North West,Oldham,Oldham East and Saddleworth,Private,Dalepeak Limited,Full inspection,31/10/2018,22/11/2018,10049281,Good,Good,Outstanding
Children's home,29/06/2001,Active,North West,North West,Tameside,Stalybridge and Hyde,Private,Stepping Stones Children's Services Limited,Full inspection,25/04/2018,21/05/2018,10049331,Good,Requires improvement to be good,Requires improvement to be good
Children's home,10/07/2001,Active,North West,North West,Tameside,Ashton-under-Lyne,Private,The Partnership of Care Today Children's Services,Full inspection,22/05/2018,11/06/2018,10049338,Good,Good,Good
Children's home,01/08/2001,Active,North West,North West,Wigan,Makerfield,Private,Care Afloat Ltd,Full inspection,24/04/2018,22/05/2018,10049351,Good,Good,Requires improvement to be good
Boarding School,13/02/2002,Active,North West,North West,Blackburn with Darwen,Blackburn,Private,Jamiatul-Ilm Wal-Huda UK,Full inspection,10/07/2018,15/08/2018,10046818,Outstanding,Outstanding,Outstanding
Children's home,20/06/2001,Active,North West,North West,Lancashire,West Lancashire,Private,Care Afloat Ltd,Full inspection,22/08/2018,21/09/2018,10049315,Good,Good,Requires improvement to be good
Children's home,20/06/2001,Active,North West,North West,Lancashire,West Lancashire,Private,Care Afloat Ltd,Full inspection,24/04/2018,21/05/2018,10049316,Good,Good,Good
Children's home,20/06/2001,Active,North West,North West,Lancashire,West Lancashire,Private,Care Afloat Ltd,Interim inspection,06/02/2019,01/03/2019,10051862,Sustained effectiveness,,
Children's home,20/06/2001,Active,North West,North West,Lancashire,West Lancashire,Private,Care Afloat Ltd,Interim inspection,13/03/2019,12/04/2019,10100335,Not judged,,
Children's home,20/06/2001,Active,North West,North West,Lancashire,West Lancashire,Private,Care Afloat Ltd,Interim inspection,23/01/2019,13/02/2019,10051441,Not judged,,
Children's home,20/06/2001,Active,North West,North West,Lancashire,West Lancashire,Private,Care Afloat Ltd,Full inspection,21/01/2019,14/02/2019,10049318,Good,Good,Good
Children's home,20/06/2001,Active,North West,North West,Lancashire,West Lancashire,Private,Care Afloat Ltd,Full inspection,07/06/2018,02/07/2018,10049319,Good,Requires improvement to be good,Requires improvement to be good
